1731697465 1 0
1731698551 1 1
1731700667 1 2
1731701742 2 2
1732161692 3 2
1732169591 4 2
1732289343 5 2
1732492187 6 2
1733158412 7 2
1733954736 8 2
1734395394 9 2
1735613358 10 2
1735615040 11 2
1736055648 12 2
1736823243 13 2
1737680024 14 2
1737914292 15 2
1738810186 16 2
1742431567 17 2
1742917373 18 2
1743036878 19 2
1743456967 20 2
1743639447 21 2
1744253280 22 2
1744329639 23 2
1746568634 24 2
1750355817 25 2
1751527106 26 2
1751527147 27 2
1751670398 28 2
1752031959 29 2
1752797364 30 2
1753765915 31 2
1754348438 32 2
1756422308 33 2
1756422342 34 2
1757284759 35 2
1757512135 35 3
1758344338 36 3
1759292541 37 3
1762193623 38 3
1763711063 39 3
1766582721 40 3
1766835355 41 3
1767205992 42 3
1767240438 43 3
1767675206 44 3
1768797697 45 3
1768925056 46 3
1770014696 47 3
1770125700 48 3
1770916647 49 3
1770918157 50 3
1770918707 50 4
1770919520 51 4
1770922868 52 4
1771591129 53 4
1771591409 54 4
1771592019 55 4
1771887923 56 4
1772734168 57 4
1773100022 58 4
1773106603 59 4
1773456578 60 4
1774947560 61 4
1775526780 62 4
1775865867 63 4
1777284234 64 4
1777288490 65 4
1777296088 66 4
1777378488 67 4
