1731697465 1076 0
1731698551 1076 28
1731700667 1076 100
1731701742 1076 100
1732161692 1118 100
1732169591 1161 100
1732289343 1224 100
1732492187 1310 100
1733158412 1501 100
1733954736 1524 100
1734395394 1568 100
1735613358 1585 100
1735615040 1587 100
1736055648 1590 100
1736823243 1604 100
1737680024 1604 100
1737914292 1678 100
1738810186 1801 100
1742431567 1976 100
1742917373 2166 100
1743036878 3430 100
1743456967 3556 100
1743639447 3562 100
1744253280 3625 100
1744329639 3627 100
1746568634 3971 100
1750355817 4167 100
1751527106 4406 100
1751527147 4408 100
1751670398 4525 100
1752031959 4571 100
1752797364 4679 100
1753765915 5007 100
1754348438 5137 100
1756422308 5812 100
1756422342 5812 100
1757284759 6223 100
1757512135 6223 187
1758344338 7080 187
1759292541 7125 187
1762193623 7413 187
1763711063 7847 187
1766582721 8603 187
1766835355 8619 187
1767205992 9325 187
1767240438 9484 187
1767675206 10053 187
1768797697 15597 187
1768925056 15600 187
1770014696 16038 187
1770125700 16039 187
1770916647 16708 187
1770918157 16781 187
1770918707 16781 191
1770919520 16781 191
1770922868 16788 191
1771591129 17322 191
1771591409 17323 191
1771592019 17376 191
1771887923 18002 191
1772734168 18271 191
1773100022 18311 191
1773106603 18421 191
1773456578 19043 191
1774947560 19142 191
1775526780 19283 191
1775865867 19301 191
1777284234 19820 191
1777288490 19900 191
1777296088 19926 191
1777378488 20031 191
